OYO 2072 Hotel Indigo Heritage,"Geejgarh Vihar, Civil Lines, Jaipur",1201,4.2
OYO 3999 Hotel Aroma Classic,"Behind Jayanti Market, Jaipur",1201,4.1
OYO 2442 Hotel Star Palace,"Near Rajputana Shereton, Fatehsingh market, Jaipur",1201,4.1
OYO 7363 Hotel N71 Rooms & Banquets,"Opp. World Trade Park, Ahinsa Marg, Jaipur",1201,New
OYO 10191 Hotel Vinayak INN,"7 No. Chauraha, Above ICICI Bank Jagatpura Road",1201,4.1
OYO 2206 Hotel Rajawat Manor,"Chitrakoot Scheme, Jaipur",1201,New
OYO 1505 Hotel RnB Jaipur,"Sunder Nagar, Jaipur",1201,New
OYO 10603 Hotel Mahima Palace,"Kusum Vihar, Jagatpura, Jaipur",1201,4.4
OYO 1425 Hotel SK Paradise,"Near Lal Kothi Shopping Centre, Tonk Road, Jaipur",1201,4.4
OYO 8936 near WTP Mall,"Behind WTP, JLN Marg, Jaipur",1201,4.4
OYO 621 Hotel Resolute,"Near Jaipur Glass Factory, Tonk Road, Jaipur",1201,4.4
OYO 3950 Hotel Hayat Rabbani,"Opposite Polovictory Cinema, Station Road, Jaipur",1201,4.1
OYO 8445 Zade House,"Near Jaipur Airport Terminal 2, Siddharth Nagar, Jaipur",1417,4.1
OYO 11754 Hotel Classic 7,"Plot No. 1, Vardhman Nagar, Main Ajmer Road, Near 200 Ft Bypass Flyover, , Jaipur",1201,New
OYO 9973 Hotel Green Valley,"Kunda, Jaipur",1201,4.3
OYO 5963 Hotel Kartikey,"Near Collectorate Circle, Kabir Marg, Jaipur",1201,4.3
OYO 8832 Hotel jaipur Classic,"On Main Khirni Phatak, T.C Nagar, Jaipur",1201,4.4
OYO 410 Hotel Lily Bay Inn,"Siddharth Nagar, Jaipur",1201,4.4
OYO 6327 Hotel Hill View,"Near Apex Circle, Malviya Nagar, Jaipur",2419,New
OYO 4492 Home Stay Sukh Vilas,"Near Arya Hospital, Moti Doongri Circle, Jaipur",1201,4
OYO 9571 Hotel Aditya Residency,"Panchsheel Enclave, JLN Marg, Jaipur",1201,4
OYO 10328 Hotel Sanjay Palace,"opposite Polovictory Cinema, Jaipur",1201,4.2
OYO 601 Hotel Shalimar,"Opp. Sindhi Camp Metro, Vanasthali Marg, Jaipur",1348,4.2
OYO 3446 Hotel Sanjary Palace,"Behind Amber Tower, SC Road, Jaipur",1201,4.3
OYO 9649 Hotel RnB Select Vijay Palace,"Ghat Gate Bazaar, Near Ramganj Chauper, Jaipur",1201,4.3
OYO 1143 Hotel RDB Palace,"Near DRM Office, Kabir Marg, Bani Park, Jaipur",1201,New
OYO 9234 Sai Residency,"Shanti Path, Jawahar Nagar, Jaipur",1201,New
OYO 11940 Yellow Park Hotel and Resort,"Ghati Karolan, Agra Road, Jaipur , Jaipur",1201,4.7
OYO 1674 Hotel Tordi Haveli,"Plot no-32, Sector 06, Chitrakoot Scheme, Vaishali Nagar, Jaipur",1201,4.7
OYO 1656 Hotel Mandela House,"Vidyut Nagar, Queens Road, Jaipur",1201,4.7
OYO 9901 near Jorawar Singh Gate,"nanadpuri colony, Amer road, Jaipur, Jaipur",1201,4.7
OYO 12019 Hotel Anuja,"Kanti Chandra Rd, Banipark, Kanti Nagar, Sindhi Camp, Jaipur, Rajasthan ., Jaipur",1201,4.4
OYO 868 Hotel Arena Villas,"Kanti Nagar, Jaipur",1201,4.4
OYO 1152 Sodala,"Behind Lazeez Restaurant, Ajmer Road, Jaipur",1201,4.1
OYO 8425 Hotel Shiv Palace,"New Sanganer Road, Sodala, Jaipur",1201,4.1
OYO 7087 Hotel Dodas Palace,"Raja Park, Jaipur",4999,4.2
OYO 652 Hotel Anokhi Palace,"Bani Park, Jaipur",999,4.2
OYO 2105 Hotel Royal Sheraton,"Near Hawa Mahal, Kanwar Nagar, Jaipur",1201,New
OYO 6012 Hotel Rockwell,"Roop Vihar, Hem Marg, New Sanganer Road, Jaipur",1201,4
